May 09 08:36:51 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156062Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=1 fabric_addr="10.0.0.10:9100"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156074Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=2 fabric_addr="10.0.0.11:9100"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156079Z  INFO kiseki_server::runtime: cross-node chunk replication enabled (Phase 16a) peers=2
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156082Z  INFO kiseki_server::runtime: cluster durability defaults cluster_size=3 copies=3 min_acks=2 strategy=Replication { copies: 3 }
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156094Z  INFO kiseki_server::runtime: scrub scheduler: spawned (orphan + under-replication, 10-min cadence, drain-on-shutdown)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156097Z  INFO kiseki_server::runtime: raw block devices configured devices=8
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156107Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-0"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156113Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-1"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156118Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-2"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156122Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-3"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156127Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-4"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156132Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-5"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156137Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-6"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156141Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-7"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156217Z  INFO fjall::db: Creating database at /var/lib/kiseki/metadata/compositions
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.157198Z  INFO kiseki_chunk_cluster::scrub_scheduler: scrub scheduler: shutdown received, draining
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.161306Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.166212Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.170212Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.175974Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.177885Z  INFO kiseki_server::runtime: composition store: persistent (fjall, eventual durability) path=/var/lib/kiseki/metadata/compositions interval_ms=100
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.180426Z  INFO kiseki_server::runtime: view store: persistent (redb-backed, ADR-040) path=/var/lib/kiseki/metadata/views.redb
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181234Z  INFO kiseki_server::runtime: bootstrap: namespace 'default' + view installed (Raft follower; will hydrate compositions from log)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181266Z  INFO kiseki_server::runtime: inline write path disabled in multi-node cluster — small writes go through fabric (Phase 16a)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181274Z  INFO kiseki_server::runtime: fsync hook: composition store (fjall) registered
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181277Z  INFO kiseki_server::runtime: fsync hook: chunk-store device registered
