May 07 19:11:11 kiseki-storage-2 systemd[1]: Started Kiseki Storage Server (node 2, nvme).
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963791Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-7"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963888Z  INFO fjall::db: Creating database at /var/lib/kiseki/metadata/compositions
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.964756Z  INFO kiseki_chunk_cluster::scrub_scheduler: scrub scheduler: shutdown received, draining
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.968806Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.973215Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.976774Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.981996Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.983678Z  INFO kiseki_server::runtime: composition store: persistent (fjall, eventual durability) path=/var/lib/kiseki/metadata/compositions interval_ms=100
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986331Z  INFO kiseki_server::runtime: view store: persistent (redb-backed, ADR-040) path=/var/lib/kiseki/metadata/views.redb
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986917Z  INFO kiseki_server::runtime: bootstrap: namespace 'default' + view installed (Raft follower; will hydrate compositions from log)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986953Z  INFO kiseki_server::runtime: inline write path disabled in multi-node cluster — small writes go through fabric (Phase 16a)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986961Z  INFO kiseki_server::runtime: fsync hook: composition store (fjall) registered
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986964Z  INFO kiseki_server::runtime: fsync hook: chunk-store device registered
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987012Z  WARN kiseki::nfs::security: NFS path is PLAINTEXT — fh4s and data are observable on the network. Mitigations: VPC isolation, firewall ingress restrictions. Compliance: this configuration violates I-PN7-default and is acceptable only with documented compensating controls.
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987022Z  INFO kiseki_server::runtime: NFS transport posture mode=Plaintext layout_ttl_seconds=60
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987086Z  WARN kiseki_gateway::s3_server: S3 HTTP gateway listening (PLAINTEXT — development only) addr=0.0.0.0:9000
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987150Z  INFO kiseki_server::runtime: portmapper listening (NFS3 + MOUNT3 → NFS port) addr=0.0.0.0:111 advertised_nfs_port=2049
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987151Z  INFO kiseki_gateway::nfs_server: NFS server listening (NFSv3 + NFSv4.2) addr=0.0.0.0:2049
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987192Z  INFO kiseki_server::metrics: metrics + admin UI server listening addr=0.0.0.0:9090
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987197Z  INFO kiseki_server::runtime: pNFS DS listener spawned addr=0.0.0.0:2052
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987219Z  INFO kiseki_server::runtime: composition hydrator spawned (Phase 16f — followers consume create-deltas)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987223Z  INFO kiseki_server::runtime: backup: disabled (set KISEKI_BACKUP_BACKEND=fs|s3 to enable)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987226Z  INFO kiseki_server::runtime: control plane: in-process (ControlService on data-path gRPC)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987239Z  INFO kiseki_gateway::pnfs_ds_server: pNFS DS listening addr=0.0.0.0:2052 tls=false
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989781Z  INFO kiseki_server::runtime: tuning store: persistent (redb) path=/var/lib/kiseki/tuning
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989915Z  WARN kiseki_server::runtime: data-path gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9100
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989947Z  WARN kiseki_server::runtime: ClusterChunkService: NO SAN interceptor (plaintext development mode — cross-node fabric is not protected against tenant certs)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989976Z  INFO kiseki_server::runtime: [transport.native] available bindings (in priority order):
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989981Z  INFO kiseki_server::runtime:   1. tcp-framed       (latency_class=Low, addr=0.0.0.0:9101)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989984Z  INFO kiseki_server::runtime:   2. grpc-h2          (latency_class=Standard, addr=0.0.0.0:9100)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.989986Z  INFO kiseki_server::runtime: [transport.native] override available via KISEKI_NATIVE_TRANSPORT={grpc|tcp|ibverbs|libfabric|auto}
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.990003Z  INFO kiseki_server::runtime: TCP-framed native binding registered (ADR-042 §2.2) addr=0.0.0.0:9101 require_tls=false
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.990009Z  INFO kiseki_server::runtime: gRPC native binding registered on shared data_addr (ADR-042 §2.1) require_tls=false
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.990048Z ERROR kiseki_server::runtime: TCP-framed native binding listener exited error=Address already in use (os error 98)
May 07 19:11:12 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:12.132794Z  INFO openraft::engine::handler::vote_handler: vote is changing from <T0-N2:-> to <T8-N1:Q>
May 07 19:12:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:12:11.988831Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:13:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:13:11.990726Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:14:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:14:11.991927Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:14:47 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:14:47.903735Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=2 last_applied=2
May 07 19:15:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:15:11.993385Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:16:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:16:11.994395Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:16:17 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:16:17.159951Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=3
May 07 19:16:55 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:16:55.774599Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=2 last_applied=5
May 07 19:17:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:17:08.722496Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=6
May 07 19:17:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:17:10.035965Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=7
May 07 19:17:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:17:11.995261Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:17:12 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:17:12.966800Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=8
May 07 19:17:46 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:17:46.730517Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=9
May 07 19:18:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:18:11.996609Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:18:38 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:18:38.681901Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=10
May 07 19:19:00 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:19:00.819264Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=11
May 07 19:19:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:19:11.997225Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:20:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:20:11.997879Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 07 19:20:41 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:20:41.412223Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=2 last_applied=13
May 07 19:21:07 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:07.594992Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=14
May 07 19:21:07 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:07.697332Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=15
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.000774Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=16
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.103087Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=17
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.205165Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=18
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.307168Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=19
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.509556Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=4 last_applied=23
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.610800Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=4 last_applied=27
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.713072Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=4 last_applied=31
May 07 19:21:08 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:08.815108Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=4 last_applied=35
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.119161Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=5 last_applied=40
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.221181Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=11 last_applied=51
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.323218Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=7 last_applied=58
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.425066Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=9 last_applied=67
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.526514Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=9 last_applied=76
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.627452Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=7 last_applied=83
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.729639Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=10 last_applied=93
May 07 19:21:09 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:09.830869Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=6 last_applied=99
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.134860Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=2 last_applied=101
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.237148Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=102
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.339267Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=103
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.441167Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=5 last_applied=108
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.543460Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=13 last_applied=121
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.644692Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=13 last_applied=134
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.745892Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=7 last_applied=141
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.848256Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=8 last_applied=149
May 07 19:21:10 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:10.950254Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=8 last_applied=157
May 07 19:21:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:11.052419Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=16 last_applied=173
May 07 19:21:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:11.153633Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=11 last_applied=184
May 07 19:21:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:21:11.254811Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=5 last_applied=189
